slug,Store Name,City,Province,Rating,Google address (verify match)
gamezilla-saint-john-saint-john,GameZilla Saint John,Saint John,NB,4.4 (180),"77 Catherwood St, Saint John, NB E2M 7X1, Canada"
heroes-beacon-saint-john,Heroes' Beacon,Saint John,NB,4.8 (379),"25 Charlotte St, Saint John, NB E2L 2H3, Canada"
entertainment-centre-bay-roberts,Entertainment Centre,Bay Roberts,NL,3.3 (4),"260 Conception Bay Hwy, Coley's Point South, NL A0A 1X0, Canada"
cards-coins-and-collectibles-corner-brook,Cards Coins and Collectibles,Corner Brook,NL,4.7 (53),"8 Broadway, Corner Brook, NL A2H 4C2, Canada"
cardbreaknl-mount-pearl,CardBreakNL,Mount Pearl,NL,4.9 (168),"1027 Topsail Rd Ste 301, Mount Pearl, NL A1N 5E9, Canada"
entertainment-centre-st-john-s,Entertainment Centre,St. John's,NL,3.9 (99),"37 O'Leary Ave, St. John's, NL A1B 3M2, Canada"
maverick-sports-collectables-st-john-s,Maverick Sports & Collectables,St. John's,NL,4.6 (74),"250 Water St, St. John's, NL A1C 1A9, Canada"
nether-world-st-john-s,Nether World,St. John's,NL,4.6 (68),"44 Crosbie Rd, St. John's, NL A1B 4A7, Canada"
books-galore-coldbrook,Books Galore,Coldbrook,NS,4.7 (133),"6637 Nova Scotia Trunk 1, Coldbrook, NS B4R 1B7, Canada"
d-m-sports-halifax,D&M Sports,Halifax,NS,4.5 (91),"201 Chain Lake Dr, Halifax, NS B3S 1C8, Canada"
strictly-singles-sports-cards-halifax,Strictly Singles Sports Cards,Halifax,NS,4.8 (120),"3200 Kempt Rd #104, Halifax, NS B3K 4X1, Canada"
light-the-lamp-sports-cards-sydney,Light the Lamp Sports Cards,Sydney,NS,5 (22),"367 Charlotte St, Sydney, NS B1P 1E1, Canada"
rainbow-s-end-book-and-discs-wolfville,Rainbow's End Book and Discs,Wolfville,NS,4.2 (209),"395 Main St, Wolfville, NS B4P 2B8, Canada"
gator-byte-computers-entertainment-yarmouth,Gator Byte Computers & Entertainment,Yarmouth,NS,4.4 (116),"316 Main St, Yarmouth, NS B5A 1E4, Canada"
ogre-s-lair-family-game-shop-yellowknife,Ogre's Lair Family Game Shop,Yellowknife,NT,4.3 (39),"5022 49 St #26, Yellowknife, NT X1A 3R8, Canada"
mintink-ajax-ajax,Mintink Ajax,Ajax,ON,4.8 (188),"1965 Salem Rd N Unit 3, Ajax, ON L1T 0J9, Canada"
rival-cards-ajax,Rival Cards,Ajax,ON,4.8 (213),"100 Westney Rd S Unit 14, Ajax, ON L1S 7H3, Canada"
box-of-cards-sports-cards-aurora,Box Of Cards (Sports Cards),Aurora,ON,4.9 (214),"41 Industrial Pkwy S, Aurora, ON L4G 3Y5, Canada"
big-b-comics-barrie,Big B Comics,Barrie,ON,4.6 (547),"45 Essa Rd, Barrie, ON L4N 3K4, Canada"
box-of-cards-sports-cards-barrie,Box Of Cards (Sports Cards),Barrie,ON,4.9 (322),"12 Commerce Park Dr c, Barrie, ON L4N 8W8, Canada"
doug-laurie-sports-barrie,Doug Laurie Sports,Barrie,ON,4.7 (46),"Bayfield Mall, Rear entrance by MTO & Bowlerama Back of mall behind Canadian Tire, 320 Bayfield St Unit 107, Barrie, ON L4M 3C1, Canada"
gamer-s-lair-ltd-barrie,Gamer's Lair Ltd.,Barrie,ON,4.7 (147),"274 Burton Ave Unit 33, Barrie, ON L4N 5W4, Canada"
ideal-hobbies-barrie,Ideal Hobbies,Barrie,ON,4.3 (269),"12 Commerce Park Dr, Barrie, ON L4N 8W8, Canada"
loot-kingdom-barrie,Loot Kingdom,Barrie,ON,4.8 (91),"159A Anne St S, Barrie, ON L4N 2E4, Canada"
omg-games-barrie,OMG Games,Barrie,ON,4.4 (324),"130 Bell Farm Rd Unit#10, Barrie, ON L4M 6J4, Canada"
power-up-gaming-barrie,Power Up Gaming,Barrie,ON,4.5 (681),"490 Mapleview Dr W #5, Barrie, ON L4N 6C3, Canada"
video-time-barrie,Video Time,Barrie,ON,3.7 (164),"157 Bayfield St, Barrie, ON L4M 3B4, Canada"
stephen-licence-bicycles-hobbies-belleville,Stephen Licence Bicycles & Hobbies,Belleville,ON,4.8 (90),"288 Front St, Belleville, ON K8N 2Z8, Canada"
mint-sports-cards-collectibles-bolton,Mint Sports Cards & Collectibles,Bolton,ON,4.9 (63),"18 King St E D7, Bolton, ON L7E 1E8, Canada"
doe-s-cards-brampton,Doe's Cards,Brampton,ON,4.6 (419),"62 Commuter Dr, Brampton, ON L7A 0R2, Canada"
dragon-world-card-games-collectibles-brampton,Dragon World Card Games & Collectibles,Brampton,ON,4.5 (273),"22 Main St S 2nd Floor, Brampton, ON L6W 2C3, Canada"
fearocards-brampton,FeARoCards,Brampton,ON,5 (15),"Meltwater Cres, Brampton, ON L6P 3W6, Canada"
gateway-cards-sports-brampton,Gateway Cards & Sports,Brampton,ON,4.9 (16),"499 Main St S, Brampton, ON L6Y 1N7, Canada"
rolls-and-realms-inc-brantford,Rolls and Realms Inc.,Brantford,ON,5 (1),"207 Colborne St W #1, Brantford, ON N3T 1L6, Canada"
sequence-comics-and-gaming-brockville,Sequence Comics and Gaming,Brockville,ON,4.6 (165),"175 King St W, Brockville, ON K6V 3R6, Canada"
breakers-choice-burlington,Breakers Choice,Burlington,ON,4 (138),"437 Brock Ave, Burlington, ON L7S 1M8, Canada"
hall-of-fame-collection-burlington,Hall Of Fame Collection,Burlington,ON,5 (15),"1220 Corporate Dr, Burlington, ON L7L 5R7, Canada"
forbes-hobbies-cambridge,Forbes Hobbies,Cambridge,ON,4.6 (324),"626 King St E, Cambridge, ON N3H 3N6, Canada"
mk-kards-cambridge,MK Kards,Cambridge,ON,4.6 (55),"48 Queen St E Unit 11, Cambridge, ON N3C 2B9, Canada"
total-sports-cards-collectibles-etobicoke,Total Sports Cards & Collectibles,Etobicoke,ON,4.8 (224),"3505 Lake Shore Blvd W, Etobicoke, ON M8W 1N5, Canada"
comics-north-greater-sudbury,Comics North,Greater Sudbury,ON,4.5 (333),"106 Elm St, Greater Sudbury, ON P3C 1T5, Canada"
diadem-cards-hobbies-greater-sudbury,Diadem Cards & Hobbies,Greater Sudbury,ON,4.7 (105),"166 Douglas St W, Greater Sudbury, ON P3E 1G1, Canada"
docs-hobby-shop-greater-sudbury,Docs hobby shop,Greater Sudbury,ON,4.7 (149),"92 Kitchener Ave, Greater Sudbury, ON P3B 2Y8, Canada"
great-canadian-games-hobbies-greater-sudbury,Great Canadian Games & Hobbies,Greater Sudbury,ON,4.5 (322),"1414 Lasalle Blvd, Greater Sudbury, ON P3A 1Z6, Canada"
great-white-north-pottery-supplies-greater-sudbury,Great White North Pottery Supplies,Greater Sudbury,ON,4.9 (282),"1305 Kelly Lake Rd Unit 3, Greater Sudbury, ON P3E 5P5, Canada"
nepal-handicrafts-greater-sudbury,Nepal Handicrafts,Greater Sudbury,ON,4.8 (33),"Unit 159, Elm Place, Downtown Mall, 40 Elm St, Greater Sudbury, ON P3C 1S8, Canada"
retro-relics-greater-sudbury,Retro Relics,Greater Sudbury,ON,4.7 (41),"4764 Regional Rd 15, Chelmsford, ON P0M 1L0, Canada"
valixya-greater-sudbury,Valixya,Greater Sudbury,ON,4.9 (29),"1861 Lasalle Blvd, Greater Sudbury, ON P3A 2A3, Canada"
brodie-s-gaming-guelph,Brodie's Gaming,Guelph,ON,4.8 (652),"304 Stone Rd W #10, Guelph, ON N1G 3C4, Canada"
microplay-video-games-collectibles-guelph,Microplay Video Games & Collectibles,Guelph,ON,4.5 (426),"130 Silvercreek Pkwy N, Guelph, ON N1H 7Y5, Canada"
royal-cat-records-guelph,Royal Cat Records,Guelph,ON,4.6 (230),"21 Macdonell St, Guelph, ON N1H 2Z3, Canada"
simply-wonderful-toys-gizmos-inc-guelph,Simply Wonderful Toys & Gizmos Inc,Guelph,ON,4.8 (122),"10 Paisley St, Guelph, ON N1H 2N6, Canada"
the-beat-goes-on-guelph,The Beat Goes On,Guelph,ON,4.5 (344),"23 Wellington St E, Guelph, ON N1H 3R7, Canada"
the-bookshelf-guelph,The Bookshelf,Guelph,ON,4.7 (767),"41 Quebec St, Guelph, ON N1H 2T1, Canada"
the-dragon-guelph,The Dragon,Guelph,ON,4.6 (690),"55 Wyndham St N T-19B, Guelph, ON N1H 7T8, Canada"
the-trading-post-guelph,The Trading Post,Guelph,ON,4 (55),"32 Essex St, Guelph, ON N1H 3K8, Canada"
tko-toy-co-guelph,TKO Toy Co,Guelph,ON,4.9 (339),"435 Stone Rd W, Guelph, ON N1G 2X6, Canada"
wyndham-art-supplies-guelph,Wyndham Art Supplies,Guelph,ON,4.9 (417),"125 Wyndham St N Unit a, Guelph, ON N1H 4E9, Canada"
1up-games-hamilton,1UP Games,Hamilton,ON,4.7 (574),"777 King St W, Hamilton, ON L8S 1K2, Canada"
big-b-comics-hamilton,Big B Comics,Hamilton,ON,4.7 (992),"1045 Upper James St, Hamilton, ON L9C 3A6, Canada"
black-knight-games-hamilton,Black Knight Games,Hamilton,ON,4.6 (978),"864 Mohawk Rd E, Hamilton, ON L8T 2R5, Canada"
breakaway-sports-cards-hamilton,Breakaway Sports Cards,Hamilton,ON,4.7 (333),"65 Wilson St W Unit 14, Ancaster, ON L9G 1N1, Canada"
