name,city,province,website,other_category,status,verdict,strong_hits,weak_hits
Kollect This Inc.,Peterborough,ON,https://www.kollectthis.com,no category matched,200,NO-CARD-EVIDENCE,,
HeavyJs Card House,Sarnia,ON,https://www.heavyjs.com,sporting goods,200,CARDS-CONFIRMED,\bbuy\s*list\b|\bbuylist\b,\bcards?\b
Hilltribe Ontario,Sault Ste. Marie,ON,http://www.hilltribeontario.com/?utm_source=gbp,no category matched,http-429,UNREACHABLE,,
Mark's Autographs and Collectables,Sault Ste. Marie,ON,http://stores.ebay.com/marksautographsandcollectables,no category matched,200,CARDS-CONFIRMED,\btopps\b|trading\s*cards?|upper\s*deck,\bcards?\b
The Rad Zone,Sault Ste. Marie,ON,http://www.theradzone.com/,no category matched,200,AMBIGUOUS,,\bcomics?\b
The Trading Post,Sault Ste. Marie,ON,http://trading-post.ca/,no category matched,http-429,UNREACHABLE,,
High Score Gamez,St. Catharines,ON,https://highscoregamez.crystalcommerce.com/,no category matched,200,NO-CARD-EVIDENCE,,
CanGeek Games and Collectibles,Toronto,ON,http://www.cangeek.com/,no category matched,200,NO-CARD-EVIDENCE,,
Cyber City Comix,Toronto,ON,http://cybercitycomix.com/,no category matched,200,AMBIGUOUS,,\bcards?\b|\bcomics?\b
Dbsport Collectibles,Toronto,ON,http://www.dbsport.ca/,no category matched,200,AMBIGUOUS,,collectib
Illusionary,Toronto,ON,http://www.illusionarycollectibles.com/,no category matched,200,NO-CARD-EVIDENCE,,
Xplore Games,Toronto,ON,http://xploregames.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Argama Hobby,Vaughan,ON,http://www.argamahobby.com/,gundam/models,http-429,UNREACHABLE,,
Retro Boyz Collectibles,Vaughan,ON,https://www.longlivethehunt.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=724417122958267698,no category matched,http-429,UNREACHABLE,,
Toybox Trading Co.,Vaughan,ON,http://toyboxtradingco.square.site/,no category matched,200,NO-CARD-EVIDENCE,,
Cartoon Kingdom,Windsor,ON,http://www.cartoonkingdom.ca/,no category matched,200,AMBIGUOUS,,\bhobby\b|collectib
Cedar Creek Hobbies,Windsor,ON,http://www.cedarcreekhobbies.com/,no category matched,200,AMBIGUOUS,,\bhobby\b|collectib
Digital Oasis,Windsor,ON,http://www.digitaloasis.ca/,no category matched,200,NO-CARD-EVIDENCE,,
Local Comic Shop,Windsor,ON,https://localcomicshop.net/,no category matched,http-429,UNREACHABLE,,
Putali Chowk Board Games & Bar,Windsor,ON,http://www.putalichowk.com/,no category matched,200,NO-CARD-EVIDENCE,,
Rogues Gallery Comics,Windsor,ON,http://rgcomics.com/,no category matched,200,AMBIGUOUS,,\bcards?\b|\bcomics?\b
SOAR Hobby & More,Windsor,ON,http://www.soarhobby.com/,rc,http-429,UNREACHABLE,,
Univers Fantastique,Beloeil,QC,http://www.universfantastique.co/,no category matched,200,NO-CARD-EVIDENCE,,
TW Chicoutimi,Jonquière (Saguenay),QC,https://www.twsportscards.com/,no category matched,200,CARDS-LIKELY,sports?\s*cards?,
